"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"498";"1,706667";"46,830833";"46°49'50.999N 1°42'24.001E";"36063";"Rue de Boislarge";"point situé sur le trottoir entre les pavillons numéros 33 et 35 de la rue de Boislarge";"36130";"DEOLS";"23/04/2002";"En extérieur";"FicheMesure498.pdf";"Oui";"0,51";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,85";"";"";"";"";"";"";"";"";"0,85";"0,85";"-66,667";"0"
"499";"0,245";"46,687222";"46°41'13.999N 0°14'42.000E";"86177";"Rue A.Caillard";"Ecole Jeanne d'ARC";"86170";"NEUVILLE DE POITOU";"13/03/2002";"En extérieur";"FicheMesure499.pdf";"Oui";"0,4";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,44";"";"";"";"";"";"";"";"";"0,44";"0,44";"-10";"0"
"504";"0,638611";"47,440556";"47°26'26.002N 0°38'19.000E";"37151";"Route de Mettray";"Appartement de M. Cardon au 1er étage";"37390";"MEMBROLLE SUR CHOISILLE";"12/04/2002";"En intérieur";"FicheMesure504.pdf";"Oui";"0,25";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,17";"";"";"";"";"";"";"";"";"0,17";"0,17";"32";"0"
"580";"1,691111";"46,810278";"46°48'37.001N 1°41'28.000E";"36044";"Avenue des Etats Unis";"Ecole Saint Pierre";"36000";"CHATEAUROUX";"05/06/2002";"En intérieur";"FicheMesure580.pdf";"Oui";"0,22";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,2";"";"0,14";"";"";"";"";"";"";"0,244131";"0,244131";"-10,969";"0,176471"
"581";"1,691111";"46,810278";"46°48'37.001N 1°41'28.000E";"36044";"Avenue Marcel Lemoine";"Lycée Jean Giraudoux";"36000";"CHATEAUROUX";"05/06/2002";"En extérieur";"FicheMesure581.pdf";"Oui";"0,27";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,36";"";"0,24";"";"";"";"";"";"";"0,432666";"0,432666";"-60,247";"0,2"
"582";"1,691111";"46,810278";"46°48'37.001N 1°41'28.000E";"36044";"Boulevard Blaise Pascal";"Lycée Blaise Pascal";"36000";"CHATEAUROUX";"05/06/2002";"En extérieur";"FicheMesure582.pdf";"Oui";"0,25";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,18";"";"";"";"";"";"";"";"";"0,18";"0,18";"28";"0"
"583";"1,691111";"46,810278";"46°48'37.001N 1°41'28.000E";"36044";"Boulevard Blaise Pascal";"Lycée Blaise Pascal";"36000";"CHATEAUROUX";"05/06/2002";"En intérieur";"FicheMesure583.pdf";"Oui";"0,6";"Lieu d'habitation";"APAVE";"";"0,25";"";"";"";"";"";"";"";"";"";"";"";"";"0,47";"";"";"";"";"";"";"";"";"0,532353";"0,47";"11,274";"0,305556"
"606";"-0,558056";"47,458889";"47°27'32.000N 0°33'29.002W";"49007";"Boulevard de Strasbourg";"appartement de M & Mme GUINEZ";"49000";"ANGERS";"02/07/2002";"En extérieur";"FicheMesure606.pdf";"Oui";"0,22";"Divers";"APAVE";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"0,14";"";"";"";"";"";"";"";"";"0,178045";"0,14";"19,07";"0,12"
"767";"-0,558333";"47,458333";"47°27'29.999N 0°33'29.999W";"49007";"Boulevard de Strasbourg";"appartement de M & Mme GUINEZ";"49000";"ANGERS";"27/09/2002";"En extérieur";"FicheMesure767.pdf";"Oui";"0,19";"Divers";"APAVE";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"";"";"";"";"";"";"";"0,186011";"0,15";"2,1";"0,153846"
"774";"-0,558889";"47,458333";"47°27'29.999N 0°33'32.000W";"49007";"Rue de Frémur";"résidence de Mme DRAILLARD";"49000";"ANGERS";"27/09/2002";"En intérieur";"FicheMesure774.pdf";"Oui";"0,37";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,39";"";"";"";"";"";"";"";"";"0,39";"0,39";"-5,405";"0"
"776";"0,770556";"47,398611";"47°23'55.000N 0°46'14.002E";"37273";"Avenue Marie Curie";"zone piètonne à proximité du groupe scolaire (école maternelle Colette & école élémentaire Marie Curie)";"37700";"VILLE AUX DAMES";"15/10/2002";"En extérieur";"FicheMesure776.pdf";"Oui";"0,15";"Rue / Route / Parking";"APAVE";"";"";"0,13";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,164012";"0,1";"-9,341";"0,130435"
"826";"3,547778";"47,7975";"47°47'51.000N 3°32'52.001E";"89024";"Rue Fragonard";"Sur le trottoir devant l'entrée de l'école maternelle COURBET, au mileu de bâtiments d'habitation.";"89000";"AUXERRE";"14/11/2002";"En extérieur";"FicheMesure826.pdf";"Oui";"0";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,1";"0,1";"";"0"
"827";"3,549722";"47,799444";"47°47'57.998N 3°32'58.999E";"89024";"Place Cézanne";"Sur la place du marché";"89000";"AUXERRE";"14/11/2002";"En extérieur";"FicheMesure827.pdf";"Oui";"0,89";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,19";"";"0,14";"";"";"";"";"";"";"0,236008";"0,236008";"73,482";"0,151515"
"828";"3,555833";"47,809444";"47°48'33.998N 3°33'20.999E";"89024";"Allée Heurtebise";"Sur la terasse du bloc n°11";"89000";"AUXERRE";"14/11/2002";"En extérieur";"FicheMesure828.pdf";"Oui";"1,27";"Divers";"CSTB - Saint Martin d'Heres";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"1,05";"";"0,74";"";"";"";"";"";"";"1,288449";"1,284562";"-1,453";"0,627871"
"829";"3,557222";"47,808889";"47°48'32.000N 3°33'25.999E";"89024";"ZAC Saint Siméon";"au niveau du parking d'intermarché.";"89000";"AUXERRE";"14/11/2002";"En extérieur";"FicheMesure829.pdf";"Oui";"0";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"0,08";"0,1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,128062";"";"";"0,111111"
"830";"3,553889";"47,808333";"47°48'29.999N 3°33'14.000E";"89024";"ZAC Saint Siméon";"A l'extèrieur de la ZAC St Siméon au niveau de l'entrée de l'école maternelle";"89000";"AUXERRE";"14/11/2002";"En extérieur";"FicheMesure830.pdf";"Oui";"0,65";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,72";"";"0,25";"";"";"";"";"";"";"0,762168";"0,762168";"-17,257";"0,484536"
"1013";"0,201389";"47,978056";"47°58'41.002N 0°12'5.000E";"72181";"Rue Jules Ferry";"";"72100";"MANS";"02/12/2002";"En extérieur";"FicheMesure1013.pdf";"Oui";"0,72";"Rue / Route / Parking";"SR Donges";"";"";"0,06";"";"0,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,315753";"";"56,145";"0,675676"
"1014";"0,245278";"46,687778";"46°41'16.001N 0°14'43.001E";"86177";"Square du souvenir";"";"86170";"NEUVILLE DE POITOU";"05/12/2002";"En extérieur";"FicheMesure1014.pdf";"Oui";"1,48";"Rue / Route / Parking";"SR Donges";"";"0,14";"0,4";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"0,33";"";"";"";"";"";"";"0,543047";"0,339559";"63,308";"0,554108"
"1175";"0,656389";"47,446111";"47°26'46.000N 0°39'23.000E";"37152";"Rue de la Motte";"";"37390";"METTRAY";"22/10/2002";"En extérieur";"FicheMesure1175.pdf";"Oui";"0,21";"Rue / Route / Parking";"APAVE";"";"";"0,33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,33";"";"-57,143";"0"
"1176";"0,658056";"47,447222";"47°26'49.999N 0°39'29.002E";"37152";"Rue de la Bourgetterie";"";"37390";"METTRAY";"22/10/2002";"En extérieur";"FicheMesure1176.pdf";"Oui";"0,29";"Rue / Route / Parking";"APAVE";"";"";"0,3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,3";"";"-3,448";"0"
"1312";"0,6275";"47,348889";"47°20'56.000N 0°37'39.000E";"37018";"Rue du Verger";"A 10 mètres de la route, derrière la barrière, à 740 mètres de l'émetteur.";"37510";"BALLAN MIRE";"11/04/2003";"En extérieur";"FicheMesure1312.pdf";"Oui";"0,14";"Divers";"APAVE";"";"0,06";"0,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,161555";"";"-15,396";"0,428571"
"1324";"0,645833";"47,3425";"47°20'33.000N 0°38'44.999E";"37122";"Allée des Artisans";"Société MULTI SIGNE à proximité du site SFR n°370120.";"37300";"JOUE LES TOURS";"12/12/2002";"En extérieur";"FicheMesure1324.pdf";"Oui";"0,28";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1329";"1,943611";"47,714722";"47°42'52.999N 1°56'37.000E";"45146";"Rue Alain Fournier";"à proximité du portail d'entrée de l'école des chêneries à proximité du site SFR 450005.";"45240";"FERTE SAINT AUBIN";"09/12/2002";"En extérieur";"FicheMesure1329.pdf";"Oui";"1,21";"Rue / Route / Parking";"APAVE";"";"1,18";"0,1";"";"";"";"";"";"";"";"";"";"";"";"0,07";"";"";"";"";"";"";"";"";"1,186297";"0,07";"1,959";"1,147407"
"1330";"0,202778";"48,004722";"48°0'16.999N 0°12'10.001E";"72181";"Place des Comtes du Maine";"A proximité du site SFR n°720017.";"72000";"MANS";"11/12/2002";"En extérieur";"FicheMesure1330.pdf";"Oui";"0,7";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,25";"";"0,15";"";"";"";"";"";"";"0,291548";"0,291548";"58,35";"0,25"
"1377";"0,361111";"46,5775";"46°34'39.000N 0°21'40.000E";"86194";"Rue Saint Saturnin";"Dans la cour du 38, rue St Saturnin.";"86000";"POITIERS";"12/02/2003";"En extérieur";"FicheMesure1377.pdf";"Oui";"0,17";"Rue / Route / Parking";"APAVE";"";"0,21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,21";"";"-23,529";"0"
"1477";"0,348333";"46,592222";"46°35'31.999N 0°20'53.999E";"86194";"Avenue de l'Europe";"Point n°2 - Entrée immeuble";"86000";"POITIERS";"15/05/2003";"En extérieur";"FicheMesure1477.pdf";"Oui";"1,35";"Rue / Route / Parking";"SETELCOM";"";"0,57";"";"";"";"";"";"0,18";"";"";"";"";"";"";"0,26";"";"0,11";"";"";"";"";"";"";"0,66106";"0,282312";"51,033";"0,627292"
"1478";"0,348333";"46,592222";"46°35'31.999N 0°20'53.999E";"86194";"Avenue de l'Europe";"Point n°3 - Milieu terrasse";"86000";"POITIERS";"15/05/2003";"En extérieur";"FicheMesure1478.pdf";"Oui";"1,52";"Divers";"SETELCOM";"";"0,69";"";"";"";"";"";"0,11";"";"";"";"";"";"";"1,25";"";"0,3";"";"";"";"";"";"";"1,463113";"1,285496";"3,743";"0,741977"
"1586";"1,947778";"47,877778";"47°52'40.001N 1°56'52.001E";"45274";"Rue du Château d'eau";"devant le n°250 de la rue du Château d'eau.";"45560";"SAINT DENIS EN VAL";"22/04/2003";"En extérieur";"FicheMesure1586.pdf";"Oui";"3,38";"Rue / Route / Parking";"APAVE";"";"3,31";"0,23";"";"";"";"";"";"";"";"";"";"";"";"0,22";"";"0,13";"";"";"";"";"";"";"3,327807";"0,255539";"1,544";"1,388296"
"1587";"1,950833";"47,877778";"47°52'40.001N 1°57'2.999E";"45274";"Rue de la Gare";"rue de la gare à 143 mètres du château d'eau.";"45560";"SAINT DENIS EN VAL";"22/04/2003";"En extérieur";"FicheMesure1587.pdf";"Oui";"1,12";"Rue / Route / Parking";"APAVE";"";"0,82";"0,24";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"0,1";"";"";"";"";"";"";"0,866025";"0,141421";"22,676";"0,94321"
"1588";"1,9475";"47,876111";"47°52'34.000N 1°56'51.000E";"45274";"Rue de la CornaiIlère";"devant le n°477 rue de la Cornaillère à 208 mètres du château d’eau";"45560";"SAINT DENIS EN VAL";"22/04/2003";"En extérieur";"FicheMesure1588.pdf";"Oui";"1,54";"Rue / Route / Parking";"APAVE";"";"1,04";"0,32";"";"";"";"";"";"";"";"";"";"";"";"0,18";"";"";"";"";"";"";"";"";"1,102905";"0,18";"28,383";"0,733967"
"1589";"1,947222";"47,878611";"47°52'43.000N 1°56'49.999E";"45274";"Rue du Val";"devant le n°108 rue du Val à 136 mètres du château d’eau.";"45560";"SAINT DENIS EN VAL";"22/04/2003";"En extérieur";"FicheMesure1589.pdf";"Oui";"2,91";"Rue / Route / Parking";"APAVE";"";"2,6";"0,28";"";"";"";"";"";"";"";"";"";"";"";"0,12";"";"0,15";"";"";"";"";"";"";"2,622079";"0,192094";"9,894";"1,331015"
"1590";"1,949444";"47,878889";"47°52'44.000N 1°56'57.998E";"45274";"Rue de Bellevue";"Intersection rue de Bellevue et de la rue de Flandres.";"45560";"SAINT DENIS EN VAL";"22/04/2003";"En extérieur";"FicheMesure1590.pdf";"Oui";"1,65";"Rue / Route / Parking";"APAVE";"";"0,98";"0,32";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";"";"";"";"";"";"";"";"1,039086";"0,13";"37,025";"0,764192"
"1591";"2,742222";"47,973889";"47°58'26.000N 2°44'31.999E";"45004";"Rue du Chesnoy";"Devant le n°180 rue du Chesnoy.";"45200";"AMILLY";"23/04/2003";"En extérieur";"FicheMesure1591.pdf";"Oui";"2,7";"Rue / Route / Parking";"APAVE";"";"2,36";"0,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,380273";"";"11,842";"0,76779"
"1592";"2,74";"47,972222";"47°58'19.999N 2°44'24.000E";"45004";"Rue du Chesnoy";"Devant le n°428 rue du Chesnoy.";"45200";"AMILLY";"23/04/2003";"En extérieur";"FicheMesure1592.pdf";"Oui";"2,08";"Rue / Route / Parking";"APAVE";"";"1,7";"0,2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,711724";"";"17,706";"0,789474"
"1593";"2,740833";"47,973056";"47°58'23.002N 2°44'26.999E";"45004";"Rue du Chesnoy";"Site Towercast situé au 312 rue du Chesnoy.";"45200";"AMILLY";"23/04/2003";"En extérieur";"FicheMesure1593.pdf";"Oui";"6,05";"Rue / Route / Parking";"APAVE";"";"5,98";"0,21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5,983686";"";"1,096";"0,932149"
"1594";"2,7425";"47,970833";"47°58'14.999N 2°44'33.000E";"45004";"Rue des Hautes Feuilles";"Devant le 352 rue des hautes feuilles.";"45200";"AMILLY";"23/04/2003";"En extérieur";"FicheMesure1594.pdf";"Oui";"0,77";"Rue / Route / Parking";"APAVE";"";"0,44";"0,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,464866";"";"39,628";"0,491525"
"1595";"2,739167";"47,974444";"47°58'27.998N 2°44'21.001E";"45004";"Bretelle d'accès à la RN 60";"bretelle d'accès à la RN 60 à 200 mètres du pylône.";"45200";"AMILLY";"23/04/2003";"En extérieur";"FicheMesure1595.pdf";"Oui";"1,98";"Rue / Route / Parking";"APAVE";"";"1,95";"0,18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,95829";"";"1,096";"0,830986"
"1679";"0,213889";"47,99";"47°59'24.000N 0°12'50.000E";"72181";"Rue Normandie Niemen";"Parking du bâtiment n°57 à proximité du site SFR n°720083.";"72100";"MANS";"11/12/2002";"En extérieur";"FicheMesure1679.pdf";"Oui";"0,37";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"";"";"";"";"";"";"";"0,15";"0,15";"59,459";"0"
"1680";"0,169722";"47,979722";"47°58'46.999N 0°10'10.999E";"72181";"Rue de l'Angevinière";"Devant l'usine d'incinération rue de l'angevinière à proximité du site SFR n°720042.";"72100";"MANS";"11/12/2002";"En extérieur";"FicheMesure1680.pdf";"Oui";"0,21";"Rue / Route / Parking";"APAVE";"";"0,06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,06";"";"71,429";"0"
"1681";"0,211667";"47,971944";"47°58'18.998N 0°12'42.001E";"72181";"Allée Saint Raphael";"Appartement n°742, site SFR 720013 implanté en terrasse du bâtiment.";"72100";"MANS";"13/12/2002";"En intérieur";"FicheMesure1681.pdf";"Oui";"0,63";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,34";"";"";"";"";"";"";"";"";"0,34";"0,34";"46,032";"0"
"1682";"0,211667";"47,971944";"47°58'18.998N 0°12'42.001E";"72181";"Allée Saint Raphael";"Appartement n°740. Site SFR n°720013 implanté en terrasse du bâtiment.";"72100";"MANS";"13/12/2002";"En intérieur";"FicheMesure1682.pdf";"Oui";"0,39";"Lieu d'habitation";"APAVE";"";"0,33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,33";"";"15,385";"0"
"1684";"1,926111";"47,912222";"47°54'43.999N 1°55'34.000E";"45234";"Boulevard Marie Stuart";"13ème et dernier étage du bâtiment (SITE SFR N°450153).";"45000";"ORLEANS";"10/12/2002";"En intérieur";"FicheMesure1684.pdf";"Oui";"0,32";"Lieu d'habitation";"APAVE";"";"0,06";"";"";"";"";"";"";"";"";"";"";"";"";"0,14";"";"";"";"";"";"";"";"";"0,152315";"0,14";"52,401";"0,4"
"1685";"1,894444";"47,900833";"47°54'2.999N 1°53'39.998E";"45234";"Rue Porte Madeleine";"à proximité du portail d'entrée de l'hôpital, à proximité du site SFR n°450129.";"45000";"ORLEANS";"09/12/2002";"En extérieur";"FicheMesure1685.pdf";"Oui";"0,31";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,16";"";"";"";"";"";"";"";"";"0,16";"0,16";"48,387";"0"
"1686";"1,902778";"47,905833";"47°54'20.999N 1°54'10.001E";"45234";"Boulevard Rocheplatte-Parking Gambetta";"Au dessus du parking souterrain Gambetta, à proximité du site SFR n°450107.";"45000";"ORLEANS";"09/12/2002";"En extérieur";"FicheMesure1686.pdf";"Oui";"0,31";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,1";"0,1";"67,742";"0"
"1687";"1,921667";"47,904444";"47°54'15.998N 1°55'18.001E";"45234";"Rue Saint Marc";"Dans la rue au niveau du n°27 bis, à proximité du site SFR n°450083.";"45000";"ORLEANS";"10/12/2002";"En extérieur";"FicheMesure1687.pdf";"Oui";"0,72";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,51";"";"";"";"";"";"";"";"";"0,51";"0,51";"29,167";"0"
